arch,size,profile,anova_F,anova_p,levene_p,shapiro_resid_p,tukey_meandiff,tukey_p_adj,tukey_reject_5%
aarch64,5000,baseline,441.084,0.0,0.0043,0.0028,-0.9015,1.0,False
aarch64,5000,flow,441.084,0.0,0.0043,0.0028,-14.5702,0.9662,False
aarch64,5000,flowstring,441.084,0.0,0.0043,0.0028,603.3402,0.0,True
aarch64,5000,string,441.084,0.0,0.0043,0.0028,606.2052,0.0,True
aarch64,20000,baseline,599.459,0.0,0.8831,0.0012,42.4797,0.9765,False
aarch64,20000,flow,599.459,0.0,0.8831,0.0012,53.4482,0.9466,False
aarch64,20000,flowstring,599.459,0.0,0.8831,0.0012,2342.6078,0.0,True
aarch64,20000,string,599.459,0.0,0.8831,0.0012,2305.8266,0.0,True
aarch64,50000,baseline,1812.173,0.0,0.0311,0.0005,9.146,1.0,False
aarch64,50000,flow,1812.173,0.0,0.0311,0.0005,70.9408,0.9628,False
aarch64,50000,flowstring,1812.173,0.0,0.0311,0.0005,5850.1072,0.0,True
aarch64,50000,string,1812.173,0.0,0.0311,0.0005,5919.9838,0.0,True
x86_64,5000,baseline,3501.294,0.0,0.1995,0.0,4.5022,0.0279,True
x86_64,5000,flow,3501.294,0.0,0.1995,0.0,8.8291,0.0,True
x86_64,5000,flowstring,3501.294,0.0,0.1995,0.0,115.7575,0.0,True
x86_64,5000,string,3501.294,0.0,0.1995,0.0,116.4592,0.0,True
x86_64,20000,baseline,4158.765,0.0,0.321,0.0,3.2313,0.965,False
x86_64,20000,flow,4158.765,0.0,0.321,0.0,5.6274,0.7852,False
x86_64,20000,flowstring,4158.765,0.0,0.321,0.0,409.4182,0.0,True
x86_64,20000,string,4158.765,0.0,0.321,0.0,419.2442,0.0,True
x86_64,50000,baseline,4050.598,0.0,0.3283,0.0,7.458,0.977,False
x86_64,50000,flow,4050.598,0.0,0.3283,0.0,28.5057,0.1883,False
x86_64,50000,flowstring,4050.598,0.0,0.3283,0.0,1046.7747,0.0,True
x86_64,50000,string,4050.598,0.0,0.3283,0.0,1079.1794,0.0,True
