size,profile,arch_a,arch_b,overhead_diff_%_(b_minus_a),diff_ci_lo,diff_ci_hi,p_value,n_forks_a,n_forks_b,p_value_holm,significant_arch_diff_5%
5000,baseline,aarch64,x86_64,2.35,0.21,4.51,0.03,10,10,0.03,True
5000,flow,aarch64,x86_64,6.59,4.56,8.78,0.0,10,10,0.0,True
5000,flowstring,aarch64,x86_64,33.5,30.21,36.82,0.0,10,10,0.0,True
5000,string,aarch64,x86_64,32.32,28.68,35.9,0.0,10,10,0.0,True
20000,baseline,aarch64,x86_64,0.73,-1.84,3.5,0.6112,10,10,0.6736,False
20000,flow,aarch64,x86_64,1.36,-1.39,4.2,0.3368,10,10,0.6736,False
20000,flowstring,aarch64,x86_64,23.24,19.75,27.06,0.0,10,10,0.0,True
20000,string,aarch64,x86_64,23.17,19.4,27.88,0.0,10,10,0.0,True
50000,baseline,aarch64,x86_64,0.36,-1.44,2.18,0.6848,10,10,0.6848,False
50000,flow,aarch64,x86_64,1.53,0.13,3.16,0.0344,10,10,0.0688,False
50000,flowstring,aarch64,x86_64,15.88,12.97,18.8,0.0,10,10,0.0,True
50000,string,aarch64,x86_64,16.26,12.6,19.61,0.0,10,10,0.0,True
