size,profile,arch_a,arch_b,overhead_diff_%_(b_minus_a),diff_ci_lo,diff_ci_hi,p_value,n_forks_a,n_forks_b,p_value_holm,significant_arch_diff_5%
5000,baseline,aarch64,x86_64,4.37,2.22,6.52,0.0,10,10,0.0,True
5000,flow,aarch64,x86_64,7.56,5.57,9.63,0.0,10,10,0.0,True
5000,flowstring,aarch64,x86_64,50.42,45.4,55.14,0.0,10,10,0.0,True
5000,string,aarch64,x86_64,51.08,46.46,55.44,0.0,10,10,0.0,True
20000,baseline,aarch64,x86_64,0.55,-2.62,3.51,0.7038,10,10,0.7038,False
20000,flow,aarch64,x86_64,1.78,-0.63,4.08,0.1416,10,10,0.2832,False
20000,flowstring,aarch64,x86_64,32.31,29.12,35.53,0.0,10,10,0.0,True
20000,string,aarch64,x86_64,34.03,30.83,37.13,0.0,10,10,0.0,True
50000,baseline,aarch64,x86_64,1.96,0.64,3.28,0.0022,10,10,0.0044,True
50000,flow,aarch64,x86_64,1.68,0.38,2.97,0.0112,10,10,0.0112,True
50000,flowstring,aarch64,x86_64,27.79,25.51,30.11,0.0,10,10,0.0,True
50000,string,aarch64,x86_64,28.22,25.54,30.81,0.0,10,10,0.0,True
