arch,size,profile,mean,ci_lo,ci_hi,unit,overhead_%_vs_original,overhead_ci_lo,overhead_ci_hi,test,p_value,cliffs_delta,n_forks,p_value_holm,significant_5%
aarch64,5000,baseline,1219.5953,1204.0608,1235.1298,us/op,-0.06,-1.27,1.22,welch-t,0.925821,-0.06,10,1.0,False
aarch64,5000,flow,1224.0309,1210.1045,1237.9572,us/op,0.3,-0.82,1.5,welch-t,0.633624,0.06,10,1.0,False
aarch64,5000,flowstring,1214.9775,1197.0671,1232.8879,us/op,-0.44,-1.82,0.93,welch-t,0.560682,-0.1,10,1.0,False
aarch64,5000,original,1220.3654,1210.4953,1230.2354,us/op,0.0,,,,,,10,,False
aarch64,5000,string,1220.0675,1198.8294,1241.3055,us/op,-0.02,-1.47,1.67,welch-t,0.977488,-0.22,10,1.0,False
aarch64,20000,baseline,5100.3631,5030.5291,5170.1971,us/op,-0.17,-2.21,1.71,welch-t,0.875704,-0.04,10,1.0,False
aarch64,20000,flow,5051.0163,4978.9174,5123.1152,us/op,-1.13,-3.14,0.85,welch-t,0.306192,-0.22,10,1.0,False
aarch64,20000,flowstring,5061.8285,4973.2693,5150.3878,us/op,-0.92,-3.11,1.23,welch-t,0.437708,-0.22,10,1.0,False
aarch64,20000,original,5108.9944,5007.9284,5210.0604,us/op,0.0,,,,,,10,,False
aarch64,20000,string,5072.3108,4999.2412,5145.3805,us/op,-0.72,-2.73,1.25,welch-t,0.515053,-0.08,10,1.0,False
aarch64,50000,baseline,12395.9617,12248.4916,12543.4319,us/op,-0.29,-1.87,1.21,mann-whitney,0.677585,-0.12,10,1.0,False
aarch64,50000,flow,12385.8648,12321.0804,12450.6492,us/op,-0.37,-1.75,0.73,mann-whitney,0.909722,-0.04,10,1.0,False
aarch64,50000,flowstring,12374.8137,12273.7454,12475.8819,us/op,-0.46,-1.9,0.77,mann-whitney,0.850107,-0.06,10,1.0,False
aarch64,50000,original,12432.474,12255.1301,12609.8179,us/op,0.0,,,,,,10,,False
aarch64,50000,string,12373.7391,12299.8469,12447.6313,us/op,-0.47,-1.83,0.64,mann-whitney,0.909722,-0.04,10,1.0,False
x86_64,5000,baseline,179.462,177.3459,181.5782,us/op,2.7,1.33,4.12,welch-t,0.001923,0.78,10,0.001923,True
x86_64,5000,flow,179.5076,178.104,180.9111,us/op,2.72,1.61,3.97,welch-t,0.000499,0.86,10,0.000997,True
x86_64,5000,flowstring,180.6211,179.5314,181.7109,us/op,3.36,2.32,4.55,welch-t,5.4e-05,1.0,10,0.000162,True
x86_64,5000,original,174.7477,172.7087,176.7867,us/op,0.0,,,,,,10,,False
x86_64,5000,string,182.523,180.4977,184.5483,us/op,4.45,3.14,5.95,welch-t,9e-06,0.98,10,3.5e-05,True
x86_64,20000,baseline,790.4508,785.3473,795.5544,us/op,1.06,0.34,1.79,welch-t,0.013438,0.64,10,0.040314,True
x86_64,20000,flow,793.3466,789.983,796.7103,us/op,1.43,0.83,2.02,welch-t,0.000347,0.86,10,0.001388,True
x86_64,20000,flowstring,784.1589,772.5044,795.8135,us/op,0.25,-1.18,1.48,welch-t,0.725495,0.34,10,0.725495,False
x86_64,20000,original,782.1706,777.6403,786.701,us/op,0.0,,,,,,10,,False
x86_64,20000,string,791.5455,781.3988,801.6922,us/op,1.2,-0.02,2.27,welch-t,0.079646,0.58,10,0.159293,False
x86_64,50000,baseline,2048.2083,2032.709,2063.7075,us/op,1.19,0.27,2.18,mann-whitney,0.064022,0.5,10,0.192066,False
x86_64,50000,flow,2044.6621,2034.2912,2055.033,us/op,1.01,0.19,1.88,welch-t,0.041742,0.48,10,0.16697,False
x86_64,50000,flowstring,2028.0315,2017.7273,2038.3357,us/op,0.19,-0.63,1.04,welch-t,0.677511,0.0,10,0.677511,False
x86_64,50000,original,2024.1404,2006.1457,2042.1351,us/op,0.0,,,,,,10,,False
x86_64,50000,string,2038.1304,2013.1623,2063.0986,us/op,0.69,-0.69,1.84,mann-whitney,0.075662,0.48,10,0.192066,False
