arch,size,profile,mean,ci_lo,ci_hi,unit,overhead_%_vs_original,overhead_ci_lo,overhead_ci_hi,test,p_value,cliffs_delta,n_forks,p_value_holm,significant_5%,is_baseline,profile_level
aarch64,5000,baseline,1230.6997,1213.3711,1248.0283,us/op,-0.07,-1.58,1.48,welch-t,0.930695,-0.02,10,0.930695,False,False,1
aarch64,5000,flow,1217.031,1203.3168,1230.7451,us/op,-1.18,-2.59,0.15,welch-t,0.126301,-0.34,10,0.252603,False,False,2
aarch64,5000,flowstring,1834.9413,1778.8414,1891.0412,us/op,48.99,45.13,53.25,welch-t,0.0,1.0,10,0.0,True,False,4
aarch64,5000,original,1231.6012,1216.3001,1246.9022,us/op,0.0,,,,,,10,,False,True,0
aarch64,5000,string,1837.8063,1786.754,1888.8587,us/op,49.22,45.66,53.1,welch-t,0.0,1.0,10,0.0,True,False,3
aarch64,20000,baseline,5069.9282,4928.8107,5211.0456,us/op,0.84,-1.71,3.61,mann-whitney,0.850107,0.06,10,0.850107,False,False,1
aarch64,20000,flow,5080.8967,4979.9855,5181.8079,us/op,1.06,-1.01,3.24,mann-whitney,0.344704,0.26,10,0.689408,False,False,2
aarch64,20000,flowstring,7370.0563,7245.3827,7494.73,us/op,46.6,43.73,49.4,mann-whitney,0.000183,1.0,10,0.000731,True,False,4
aarch64,20000,original,5027.4485,4944.7446,5110.1524,us/op,0.0,,,,,,10,,False,True,0
aarch64,20000,string,7333.2751,7211.5155,7455.0347,us/op,45.86,43.07,48.69,mann-whitney,0.000183,1.0,10,0.000731,True,False,3
aarch64,50000,baseline,12301.2991,12200.0435,12402.5546,us/op,0.07,-0.7,0.89,welch-t,0.865457,0.06,10,0.865457,False,False,1
aarch64,50000,flow,12363.0939,12277.4481,12448.7396,us/op,0.58,-0.15,1.28,welch-t,0.153158,0.34,10,0.306316,False,False,2
aarch64,50000,flowstring,18142.2604,17929.6597,18354.861,us/op,47.59,46.1,49.24,welch-t,0.0,1.0,10,0.0,True,False,4
aarch64,50000,original,12292.1531,12227.6178,12356.6885,us/op,0.0,,,,,,10,,False,True,0
aarch64,50000,string,18212.137,17932.0624,18492.2115,us/op,48.16,46.35,50.23,welch-t,0.0,1.0,10,0.0,True,False,3
x86_64,5000,baseline,182.1483,180.6929,183.6037,us/op,4.3,2.79,5.84,welch-t,8.1e-05,0.92,10,8.1e-05,True,False,1
x86_64,5000,flow,185.7877,184.3113,187.2641,us/op,6.38,4.86,7.93,welch-t,1e-06,1.0,10,2e-06,True,False,2
x86_64,5000,flowstring,348.2517,346.4804,350.0229,us/op,99.41,96.7,102.07,welch-t,0.0,1.0,10,0.0,True,False,4
x86_64,5000,original,174.6425,171.9267,177.3584,us/op,0.0,,,,,,10,,False,True,0
x86_64,5000,string,349.8157,348.0213,351.61,us/op,100.3,97.62,103.01,welch-t,0.0,1.0,10,0.0,True,False,3
x86_64,20000,baseline,801.3956,790.154,812.6372,us/op,1.39,-0.08,2.68,mann-whitney,0.045155,0.54,10,0.045155,True,False,1
x86_64,20000,flow,812.876,808.0172,817.7349,us/op,2.85,1.89,3.78,mann-whitney,0.000583,0.92,10,0.001166,True,False,2
x86_64,20000,flowstring,1414.0442,1408.9043,1419.1841,us/op,78.91,77.45,80.3,welch-t,0.0,1.0,10,0.0,True,False,4
x86_64,20000,original,790.3786,783.1906,797.5667,us/op,0.0,,,,,,10,,False,True,0
x86_64,20000,string,1421.8626,1416.2078,1427.5174,us/op,79.9,78.37,81.37,welch-t,0.0,1.0,10,0.0,True,False,3
x86_64,50000,baseline,2091.108,2077.1394,2105.0767,us/op,2.03,1.01,3.13,welch-t,0.002306,0.8,10,0.002353,True,False,1
x86_64,50000,flow,2095.6451,2080.3179,2110.9722,us/op,2.25,1.21,3.37,welch-t,0.001177,0.82,10,0.002353,True,False,2
x86_64,50000,flowstring,3594.3353,3577.9569,3610.7137,us/op,75.38,73.71,77.14,welch-t,0.0,1.0,10,0.0,True,False,4
x86_64,50000,original,2049.4831,2027.7649,2071.2013,us/op,0.0,,,,,,10,,False,True,0
x86_64,50000,string,3614.8084,3599.5818,3630.0351,us/op,76.38,74.78,78.07,welch-t,0.0,1.0,10,0.0,True,False,3
